1 着,2 着,2連 対率,3 着,3連 対率,B,S,Unnamed: 0,ギヤ 倍数,マ,予 想,勝 率,好 気 合,差,捲,枠 番,着 外,競走得点,級 班,総 評,脚 質,車 番,逃,選手名 府県/年齢/期別
1,3,16.6,3,29.1,0,1,3,3.92,1,△,4.1,,3,0,4,17,82.83,A2,4,追,4,0,一丸 安貴  愛　知/48/70
0,3,13.6,5,36.3,0,1,4,3.93,2,○,0.0,,1,0,5,14,86.0,A1,3,追,5,0,吉良 勝信  福　岡/46/75
0,1,6.2,3,25.0,0,0,5,3.85,1,,0.0,,0,0,6,12,79.87,A2,5,追,6,0,塩満 賢治  鹿児島/55/58
1,2,16.6,3,33.3,2,4,6,3.85,0,注,5.5,,0,2,6,12,80.44,A1,4,逃,7,1,今野 有樹  愛　媛/23/115
6,1,53.8,1,61.5,8,1,0,3.92,1,注,46.1,,0,2,1,5,92.46,A1,2,逃,1,4,藤原 俊太郎  岡　山/25/111
10,5,62.5,2,70.8,1,5,1,3.92,2,×,41.6,,11,2,2,7,93.66,A1,2,追,2,0,藤原 誠  岐　阜/48/69
10,4,77.7,1,83.3,6,2,2,3.92,1,◎,55.5,,4,7,3,3,96.0,A1,1,逃,3,2,北川 大五郎  大　阪/29/103
5,4,42.8,7,76.1,5,2,3,3.92,0,△,23.8,,3,4,4,5,93.33,A1,2,両,4,2,西浦 仙哉  三　重/46/73
5,3,38.0,3,52.3,0,1,4,3.86,3,○,23.8,,5,0,5,10,91.66,A1,2,追,5,0,中井 護  滋　賀/46/74
3,5,33.3,7,62.5,0,3,5,3.86,5,,12.5,,3,0,6,9,90.37,A1,2,追,6,0,表 大暁  富　山/46/82
2,6,38.0,7,71.4,0,0,6,3.93,4,▲,9.5,,4,0,6,6,91.04,A1,2,追,7,0,川又 裕樹  鹿児島/35/97
5,6,45.8,3,58.3,13,3,0,3.92,0,×,20.8,,1,3,1,10,89.04,A1,2,逃,1,7,谷本 奨輝  富　山/26/107
1,0,11.1,2,33.3,1,0,1,3.92,0,○,11.1,,0,1,2,6,88.88,A1,3,逃,2,0,金澤 竜二  福　島/35/91
2,5,30.4,4,47.8,0,0,2,3.92,4,△,8.6,,2,1,3,12,84.95,A2,4,追,3,0,窪田 陽介  滋　賀/36/90
3,4,58.3,2,75.0,8,1,3,3.85,0,◎,25.0,,1,0,4,3,90.66,A2,2,逃,4,6,前川 大輔  福　島/30/113
3,5,36.3,2,45.4,0,4,4,3.92,2,注,13.6,,6,0,5,12,83.5,A2,4,追,5,0,徳丸 泰教  兵　庫/35/95
0,2,9.5,4,28.5,0,0,5,3.92,2,▲,0.0,,0,0,6,15,80.19,A2,4,追,6,0,松岡 慶彦  栃　木/46/74
2,1,50.0,0,50.0,2,1,0,3.92,0,×,33.3,,0,2,1,3,84.66,A1,4,逃,1,1,本多 哲也  千　葉/32/97
5,1,66.6,1,77.7,8,0,1,3.85,0,◎,55.5,,0,1,2,2,92.0,A2,2,逃,2,5,宮下 一歩  長　野/28/115
0,5,26.3,3,42.1,0,0,2,3.93,4,△,0.0,,1,0,3,11,87.94,A1,3,追,3,0,西郷 剛  兵　庫/51/69
1,4,20.8,5,41.6,12,3,3,3.85,1,注,4.1,,0,1,4,14,82.33,A2,4,逃,4,3,勝谷 勝治  三　重/30/115
4,5,45.0,4,65.0,1,6,4,3.85,3,○,20.0,,5,1,5,7,88.05,A2,3,追,5,0,高橋 昇平  埼　玉/31/99
0,0,0.0,0,0.0,0,0,5,3.77,0,▲,0.0,,0,0,6,3,79.0,A2,5,追,6,0,伊藤 拓人  静　岡/32/94
1,0,9.0,3,36.3,0,0,6,3.92,0,,9.0,,1,0,6,7,80.54,A2,4,追,7,0,梶原 秀庸  大　阪/46/77
1,1,18.1,1,27.2,0,1,0,3.92,1,○,9.0,,1,0,1,8,84.9,A1,4,追,1,0,白崎 芳典  福　井/44/86
2,0,13.3,3,33.3,1,0,1,3.92,0,△,13.3,,1,1,2,10,83.53,A2,4,追,2,0,中川 貴史  三　重/44/79
4,2,22.2,1,25.9,9,0,2,3.92,0,注,14.8,,1,2,3,20,83.7,A1,4,両,3,3,早川 成矢  埼　玉/45/78
12,3,83.3,1,88.8,12,1,3,3.92,0,◎,66.6,,1,8,4,2,94.11,A2,2,逃,4,6,土生 敦弘  大　阪/22/117
0,3,21.4,1,28.5,0,0,4,3.93,1,,0.0,,2,0,5,10,81.38,A2,4,追,5,0,丸元 大樹  兵　庫/44/82
0,1,4.5,2,13.6,0,4,5,3.92,0,▲,0.0,,1,0,6,19,80.38,A2,4,両,6,0,伊藤 大理  長　野/44/85
3,2,31.2,2,43.7,5,0,6,3.92,0,×,18.7,,0,2,6,9,86.8,A1,3,逃,7,3,井田 晶之  愛　知/29/113
10,3,61.9,5,85.7,14,3,0,3.92,0,◎,47.6,,0,4,1,3,93.28,A2,2,逃,1,9,高田 修汰  福　井/21/115
0,0,0.0,4,19.0,0,2,1,3.92,0,▲,0.0,,0,0,2,17,81.0,A2,4,追,2,0,石田 岳彦  岩　手/39/89
0,1,14.2,1,28.5,0,0,2,3.92,0,△,0.0,,1,0,3,5,85.0,A2,3,追,3,0,高橋 佑輔  神奈川/33/96
1,2,20.0,1,26.6,0,0,3,3.92,1,注,6.6,,2,0,4,11,83.4,A2,4,追,4,0,板橋 常晶  岐　阜/47/82
4,3,38.8,3,55.5,0,0,4,3.92,3,○,22.2,,3,1,5,8,88.55,A1,3,両,5,0,山崎 光展  京　都/34/93
1,2,12.5,3,25.0,0,2,5,3.92,1,,4.1,,2,0,6,18,80.41,A1,4,追,6,0,杉浦 康一  北海道/55/58
6,2,38.0,3,52.3,3,7,6,3.92,0,×,28.5,,2,6,6,10,87.52,A1,3,逃,7,0,田中 誇士  静　岡/27/103
11,4,83.3,1,88.8,0,3,0,3.92,3,◎,61.1,,11,1,1,2,96.27,A1,1,逃,1,0,山本 巨樹  大　阪/30/100
4,4,53.3,1,60.0,7,4,1,3.92,0,×,26.6,,0,5,2,6,93.0,A1,2,逃,2,3,森川 康輔  岐　阜/23/111
3,4,33.3,3,47.6,0,0,2,3.92,2,▲,14.2,,5,0,3,11,90.23,A1,2,追,3,0,清水 広幸  愛　知/54/57
7,6,61.9,3,76.1,2,3,3,3.93,3,△,33.3,,6,2,4,5,94.04,A1,2,両,4,2,白上 翔  滋　賀/32/95
2,2,26.6,3,46.6,0,0,4,3.92,2,注,13.3,,2,0,5,8,91.6,A1,2,追,5,0,萩原 操  三　重/57/51
0,3,23.0,2,38.4,0,2,5,3.92,1,,0.0,,2,0,6,8,90.0,A1,2,追,6,0,宮内 善光  群　馬/39/88
7,2,47.3,2,57.8,6,2,6,3.92,0,○,36.8,,3,4,6,8,91.52,A1,2,逃,7,2,佐川 翔吾  大　阪/36/94
2,0,15.3,1,23.0,4,0,0,3.92,0,△,15.3,,0,1,1,10,97.84,S2,5,逃,1,1,川越 勇星  神奈川/24/111
6,5,40.7,1,44.4,0,7,1,3.92,2,◎,22.2,,8,1,2,15,102.77,S2,4,追,2,0,伊代野 貴照  奈　良/40/101
2,4,28.5,0,28.5,0,1,2,3.92,1,×,9.5,,4,1,3,15,101.8,S2,4,追,3,0,大塚 玲  神奈川/39/89
5,5,41.6,1,45.8,6,4,3,3.92,0,○,20.8,,0,8,4,13,100.91,S1,4,逃,4,2,伊藤 信  大　阪/37/92
0,0,0.0,2,11.7,0,0,4,3.92,0,注,0.0,,0,0,5,15,97.23,S2,5,追,5,0,四宮 哲郎  京　都/47/71
0,1,11.1,0,11.1,0,2,5,3.92,0,▲,0.0,,1,0,6,8,93.62,S2,6,追,6,0,真崎 新太郎  栃　木/42/85
15,2,80.9,2,90.4,16,3,0,3.92,0,◎,71.4,,0,4,1,2,78.04,A3,1,逃,1,13,長谷部 龍一  岐　阜/24/117
2,0,9.5,3,23.8,2,0,1,3.92,0,×,9.5,,2,0,2,16,68.76,A3,4,追,2,0,小田桐 義継  北海道/43/81
0,0,0.0,0,0.0,0,0,2,3.77,0,▲,0.0,,0,0,3,10,63.9,A3,6,追,3,0,野田 英吾  群　馬/46/75
1,10,45.8,4,62.5,0,1,3,3.92,8,○,4.1,,3,0,4,9,73.7,A3,3,追,4,0,塚本 貴雄  岐　阜/49/70
3,2,27.7,4,50.0,11,11,4,3.85,0,△,16.6,,1,1,5,9,70.0,A3,4,逃,5,3,薮下 直輝  北海道/33/95
0,0,0.0,0,0.0,0,0,5,3.92,0,,0.0,,0,0,6,20,62.5,A3,6,追,6,0,山本 貴喜  大　阪/43/87
1,2,17.6,1,23.5,0,1,6,3.92,1,注,5.8,,2,0,6,13,67.0,A3,5,追,7,0,清水 一博  岩　手/43/84
0,2,10.5,6,42.1,0,1,0,3.92,1,○,0.0,,1,0,1,11,102.88,S1,4,追,1,0,三谷 将太  奈　良/35/92
3,2,21.7,5,43.4,6,0,1,3.92,1,×,13.0,,1,1,2,13,99.21,S2,4,逃,2,2,山本 紳貴  千　葉/36/107
6,2,27.5,4,41.3,0,5,2,3.92,2,注,20.6,,5,1,3,17,101.03,S2,4,追,3,0,山内 卓也  愛　知/44/77
2,2,18.1,4,36.3,0,0,3,3.92,1,△,9.0,,3,0,4,14,98.95,S2,5,追,4,0,中井 達郎  静　岡/46/74
5,4,34.6,2,42.3,8,1,4,3.92,0,◎,19.2,,3,1,5,15,100.57,S2,4,逃,5,5,藤井 昭吾  滋　賀/34/99
2,1,11.1,4,25.9,0,1,5,3.92,0,▲,7.4,,3,0,6,20,95.29,S2,5,追,6,0,植木 和広  神奈川/41/98
4,3,33.3,5,57.1,0,0,0,3.85,0,○,19.0,,5,2,1,9,99.9,S2,4,追,1,0,山口 貴弘  栃　木/43/84
2,2,18.1,4,36.3,0,4,1,3.92,1,△,9.0,,3,0,2,14,102.66,S1,4,両,2,0,岡本 総  愛　知/33/105
5,2,33.3,2,42.8,4,5,2,3.92,0,×,23.8,,3,3,3,12,100.14,S1,4,両,3,1,渡邉 豪大  静　岡/31/107
3,3,21.4,9,53.5,0,1,3,3.93,1,注,10.7,,5,0,4,13,101.53,S2,4,追,4,0,飯田 辰哉  千　葉/47/72
6,1,31.8,3,45.4,8,3,4,3.92,0,◎,27.2,,2,3,5,12,100.04,S2,4,逃,5,2,小畑 勝広  茨　城/21/115
2,3,20.0,2,28.0,13,1,5,3.92,0,▲,8.0,,0,1,6,18,94.72,S2,6,逃,6,4,奥出 良  石　川/27/109
0,4,15.3,6,38.4,0,4,0,3.92,2,注,0.0,,2,0,1,16,99.2,S2,4,追,1,0,中村 敏之輔  北海道/35/91
2,3,19.2,4,34.6,0,0,1,3.93,1,▲,7.6,,4,0,2,17,97.5,S2,5,追,2,0,武田 哲二  京　都/50/65
2,1,17.6,4,41.1,0,1,2,3.92,0,○,11.7,,2,1,3,10,100.86,S2,4,追,3,0,石川 雅望  群　馬/34/91
6,4,43.4,3,56.5,6,1,3,3.92,1,◎,26.0,,1,6,4,10,101.86,S2,4,逃,4,2,一戸 康宏  埼　玉/33/101
2,2,14.8,3,25.9,2,3,4,3.92,1,×,7.4,,0,1,5,20,99.37,S2,4,両,5,2,角 令央奈  兵　庫/33/98
2,2,17.3,2,26.0,3,1,5,3.92,1,,8.6,,2,1,6,17,93.95,S2,6,両,6,0,伊藤 勝太  福　島/32/95
2,2,16.6,4,33.3,8,8,6,3.92,0,△,8.3,,0,1,6,16,96.33,S2,5,逃,7,3,谷口 友真  大　阪/31/109
0,2,8.6,3,21.7,0,1,0,3.92,1,▲,0.0,,1,0,1,18,95.68,S2,5,追,1,0,山下 貴之  神奈川/42/85
6,5,40.7,6,62.9,0,4,1,3.92,4,×,22.2,,6,1,2,10,104.22,S2,3,両,2,0,新山 将史  青　森/30/98
3,4,25.9,1,29.6,0,1,2,3.92,2,注,11.1,,5,0,3,19,97.62,S2,5,追,3,0,富永 益生  愛　知/50/66
4,1,25.0,1,30.0,12,7,3,3.92,0,△,20.0,,0,1,4,14,96.0,S2,5,逃,4,4,早坂 秀悟  茨　城/35/90
3,2,27.7,0,27.7,2,0,4,3.92,0,○,16.6,,3,2,5,13,99.61,S2,4,逃,5,0,松岡 篤哉  岐　阜/38/97
